grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,usable_area_percent,kirana_potential_index,yellow_building_proportion,local_road_proportion,avg_yellow_building_size,water_percent_log,kirana_potential_index_log,dist_to_nearest_hub,green_cover_ratio,edge_density,structural_complexity,market_activity_index,street_exposure_index,grid_segment,grid_score
5676,28.4390576,77.2496423,0,0,0.0,0.0,0.0,0.0,1.15,1.15,0,0.0,98.85,1.1500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,7.657106558364041,0.978425,0.0045125,2.25,0.0,0.0,bad,1.0
5868,28.4408542,77.1554763,8,0,3.08,0.0,3.08,0.0,6.37,6.37,0,0.0,90.55,9.450000000000003,0.0,0.0,1.0,0.0,0.0,0.0,9.395043224804017,0.03244375,0.01541875,4.6875,0.0,4.6875,bad,1.98
6075,28.4426509,77.0920165,92,7,14.84,1.42,16.259999999999998,0.0,12.85,12.85,0,0.0,70.89,29.11,0.26199261992619927,0.0707070707070707,1.0,0.20285714285714285,0.0,0.23269191618290425,8.14974698451061,0.001525,0.0504875,16.6875,1.1799242424242424,16.6875,bad,13.67
6092,28.4426509,77.126817,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.191394127293059,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
6330,28.4444475,77.126817,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.996625408421851,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
6393,28.4444475,77.2557836,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.173019673957073,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
6771,28.4480407,77.0551689,72,10,29.45,4.52,33.97,0.71,14.58,15.29,0,0.0,50.74000000000001,49.25999999999999,0.4603070625917157,0.12195121951219512,0.9535644211903205,0.45199999999999996,0.0,0.3786467304503991,9.038691806202669,0.001975,0.03915,10.187499999999998,1.2423780487804876,9.714437540876387,bad,22.44
7033,28.4498374,77.104299,24,23,1.59,0.0,1.59,11.84,13.97,25.81,0,0.0,72.60000000000001,27.39999999999999,0.0,0.48936170212765956,0.5412630763270051,0.0,0.0,0.0,7.203033448794008,0.2137625,0.0359,4.25,2.079787234042553,2.300368074389772,bad,7.88
7055,28.4498374,77.149335,1,0,0.14,0.0,0.14,0.0,4.23,4.23,0,0.0,95.63,4.3700000000000045,0.0,0.0,1.0,0.0,0.0,0.0,8.230166156587046,0.90571875,0.01355,2.8125,0.0,2.8125,bad,1.04
7271,28.451634,77.104299,0,1,0.0,0.0,0.0,0.0,1.48,1.48,0,0.0,98.52,1.480000000000004,0.0,0.0,0.0,0.0,0.0,0.0,7.003577747646241,0.90296875,0.0045,2.1875,0.0,0.0,bad,1.0
7296,28.451634,77.1554763,7,0,1.63,0.0,1.63,0.0,3.99,3.99,0,0.0,94.38,5.6200000000000045,0.0,0.0,1.0,0.0,0.0,0.0,8.21274501793433,0.92748125,0.01159375,3.125,0.0,3.125,bad,1.52
7347,28.451634,77.2598778,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4706094826144955,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
7510,28.4534306,77.1063461,8,1,3.77,1.98,5.75,0.78,13.27,14.05,0,0.0,80.2,19.799999999999997,0.3443478260869565,0.1111111111111111,0.9444839857651245,0.0,0.0,0.2959090077900715,6.795310326190502,0.73399375,0.030175,4.625,0.5138888888888888,4.3682384341637,bad,9.49
7823,28.4552272,77.2598778,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076179170147196,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
7831,28.4552272,77.2762545,2,0,0.14,0.0,0.14,0.0,4.19,4.19,0,0.0,95.67,4.329999999999998,0.0,0.0,1.0,0.0,0.0,0.0,5.4374278986920945,0.94540625,0.0140375,2.4375,0.0,2.4375,bad,1.04
8239,28.4588205,77.1370525,0,0,0.0,0.0,0.0,0.0,0.28,0.28,0,0.0,99.72,0.28000000000000114,0.0,0.0,0.0,0.0,0.0,0.0,6.79698075728679,0.98644375,0.00451875,2.25,0.0,0.0,bad,1.0
8466,28.4606171,77.1145345,1,0,0.29,0.0,0.29,0.0,5.7,5.7,0,0.0,94.01,5.989999999999995,0.0,0.0,1.0,0.0,0.0,0.0,6.0232406205773374,0.92465,0.01656875,2.9375,0.0,2.9375,bad,1.09
